post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47768195,"Spain to expand internet blocks to tennis, golf, movies broadcasting times",technology,38,15,akyuu,2026-04-14 23:07:22.204033,0.38461538461538464,False
47768133,Claude Code Routines,technology,37,12,matthieu_bl,2026-04-14 23:07:23.238933,0.3157894736842105,False
47767676,5NF and Database Design,technology,43,9,petalmind,2026-04-14 23:07:24.214812,0.20454545454545456,False
47767606,Show HN: Kelet – Root Cause Analysis agent for your LLM apps,technology,20,8,almogbaku,2026-04-14 23:07:28.167095,0.38095238095238093,False
47766370,Show HN: LangAlpha – what if Claude Code was built for Wall Street?,technology,27,10,zc2610,2026-04-14 23:07:29.142557,0.35714285714285715,False
47765374,Show HN: Kontext CLI – Credential broker for AI coding agents in Go,technology,39,9,mc-serious,2026-04-14 23:07:32.212138,0.225,False
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,93,44,tie-in,2026-04-14 23:07:46.967303,0.46808510638297873,False
47766430,War as a Pretext: Gulf States Are Tightening the Screws on Speech–Again,technology,23,0,hn_acker,2026-04-14 23:07:53.952168,0.0,False
47728970,"Write less code, be more responsible",technology,151,98,orhunp_,2026-04-14 23:07:54.926081,0.6447368421052632,True
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,64,8,adunk,2026-04-14 23:07:56.896652,0.12307692307692308,False
47724408,The Great Majority: Body Snatching and Burial Reform in 19th-Century Britain,technology,21,2,apollinaire,2026-04-14 23:07:58.892806,0.09090909090909091,False
47753689,Building a CLI for all of Cloudflare,technology,322,106,soheilpro,2026-04-14 23:08:00.819925,0.3281733746130031,True
47708457,Rust Threads on the GPU,technology,108,34,PaulHoule,2026-04-14 23:08:02.772527,0.3119266055045872,False
47766330,To teach in the era of ChatGPT is to know pain,technology,21,2,ckemere,2026-04-14 23:08:03.755054,0.09090909090909091,False
47729046,Air Powered Segment Display? [video],technology,126,12,ProfDreamer,2026-04-14 23:08:06.629462,0.09448818897637795,False
47764833,Stanford HAI Index Report 2026,technology,5,1,giuliomagnifico,2026-04-14 23:08:07.609734,0.16666666666666666,False
